productividad,edad,sexo,hijos,años_empresa,satisfaccion_equipo,horas_formacion_mes,distancia_oficina_km,departamento,estres_reportado,bono_anual,jornada_continua
27,36,Hombre,Sí,12,4,6.3,3.9,IT,4,1.6,Sí
26,49,Hombre,Sí,27,8,10.8,2.7,IT,7,9.8,No
33,55,Mujer,No,26,9,9.8,18.9,Marketing,3,1.6,No
22,23,Hombre,No,18,3,6.1,4.4,Ventas,7,1.6,No
22,53,Hombre,No,19,5,9.1,10.1,Operaciones,1,1.6,No
28,44,Hombre,No,16,4,16.5,15.3,IT,7,8.4,No
31,43,Hombre,No,5,10,4.5,5.6,RRHH,1,5.0,Sí
27,46,No binario,No,3,6,4.3,4.0,IT,1,2.7,No
35,43,Hombre,No,0,10,11.6,0.0,Ventas,2,1.3,No
29,43,Mujer,No,17,4,7.0,0.2,RRHH,2,4.0,No
30,63,No binario,No,30,8,0.6,1.1,Marketing,4,5.4,Sí
23,27,Mujer,No,18,3,17.8,1.0,IT,1,13.9,No
23,36,Mujer,Sí,8,5,0.3,1.5,IT,4,3.2,No
26,64,Mujer,Sí,12,1,11.0,1.8,Ventas,2,2.0,No
31,58,No binario,Sí,7,6,11.4,2.2,Marketing,4,1.6,Sí
27,54,Mujer,No,22,5,24.5,2.7,Operaciones,4,9.6,No
26,29,Mujer,No,12,8,0.4,0.5,Ventas,9,4.7,Sí
28,65,Mujer,No,14,9,7.3,0.2,IT,9,2.0,No
29,65,Mujer,Sí,10,8,4.5,5.6,Operaciones,1,1.7,No
26,26,Mujer,No,11,8,3.2,3.9,IT,5,5.2,No
15,60,Hombre,Sí,13,3,0.8,2.9,Marketing,7,3.0,No
23,25,Hombre,Sí,3,4,6.6,5.0,IT,4,8.5,No
21,27,Hombre,Sí,0,4,5.2,8.8,IT,5,0.8,No
25,53,Hombre,No,23,5,0.9,2.8,IT,2,2.2,Sí
32,51,Hombre,No,3,9,7.6,5.1,IT,3,5.4,Sí
29,56,Hombre,No,18,9,10.7,15.3,Ventas,7,3.9,No
27,61,Mujer,Sí,8,10,11.7,9.2,Marketing,10,2.3,No
29,37,Hombre,No,9,1,18.9,2.8,Marketing,7,1.9,Sí
23,34,Mujer,No,3,8,4.2,5.2,Marketing,4,2.1,No
34,63,Hombre,Sí,19,1,24.5,1.0,Marketing,1,7.3,No
34,51,Hombre,No,29,2,16.0,4.1,Ventas,1,2.7,No
23,40,Mujer,No,8,7,2.8,19.9,Ventas,4,4.9,Sí
28,38,Mujer,No,12,8,1.4,3.7,RRHH,4,5.3,No
26,40,Hombre,No,11,1,4.6,13.1,IT,6,0.8,No
18,49,Mujer,No,10,3,4.1,2.6,IT,7,1.6,No
21,47,Mujer,Sí,11,7,6.9,33.8,Ventas,9,1.9,No
31,58,Hombre,No,29,9,7.0,4.3,Ventas,9,2.8,No
27,47,Hombre,Sí,17,8,11.1,0.2,IT,10,1.8,No
28,44,No binario,Sí,29,8,5.7,4.4,RRHH,5,2.1,No
22,30,Mujer,Sí,11,9,0.9,1.6,Operaciones,10,4.2,No
32,33,Mujer,No,15,10,15.6,0.2,Operaciones,3,1.7,No
17,22,Mujer,No,4,3,3.0,8.6,Operaciones,3,6.6,No
27,22,Hombre,Sí,30,8,28.4,1.6,Operaciones,6,6.8,Sí
24,55,Hombre,No,19,1,1.0,8.0,IT,1,3.7,Sí
28,53,Hombre,No,24,8,25.4,1.7,Ventas,7,8.7,No
26,46,Mujer,Sí,11,7,0.8,1.1,RRHH,3,2.3,Sí
27,61,Mujer,Sí,20,8,2.1,18.2,Ventas,5,7.5,No
15,22,Mujer,No,24,1,0.4,2.2,IT,7,1.5,No
23,37,Hombre,Sí,10,6,9.8,4.6,Ventas,7,5.0,No
25,60,Hombre,No,8,7,15.2,4.7,IT,9,5.4,Sí
21,26,Mujer,Sí,29,5,4.6,4.1,IT,1,6.1,No
31,43,Mujer,No,17,5,21.1,12.3,Ventas,3,5.9,No
28,50,Mujer,No,29,7,7.1,5.6,IT,9,3.7,No
21,24,Hombre,No,30,3,8.0,2.6,Operaciones,8,0.9,No
28,33,Mujer,No,24,6,14.9,9.9,IT,2,11.8,No
24,47,Hombre,No,2,7,2.8,1.0,Operaciones,8,4.1,No
17,37,Mujer,No,19,1,3.5,3.9,Ventas,8,1.3,Sí
29,58,Hombre,No,16,2,18.9,15.0,Ventas,2,4.7,No
25,43,Mujer,Sí,13,4,18.5,4.9,IT,8,3.1,No
35,50,Hombre,No,0,8,30.0,8.5,IT,3,2.8,No
31,35,Mujer,Sí,16,10,18.6,5.3,Marketing,7,4.6,Sí
22,49,Hombre,No,24,6,1.1,9.1,RRHH,9,0.7,No
19,26,Hombre,Sí,26,1,13.9,14.5,RRHH,4,3.7,No
30,51,Hombre,No,7,10,4.2,1.6,Operaciones,6,4.3,No
28,26,Hombre,Sí,4,5,30.0,0.9,IT,9,1.3,No
32,33,Hombre,No,4,7,5.1,3.3,Ventas,5,4.5,Sí
24,37,Mujer,No,8,6,6.5,6.1,IT,1,5.9,No
31,47,Hombre,Sí,2,9,6.0,1.3,Ventas,3,4.0,No
21,47,Mujer,No,18,8,3.1,0.0,IT,9,2.8,Sí
24,42,Mujer,Sí,22,4,0.6,2.1,Ventas,3,4.6,Sí
23,60,Mujer,No,8,5,18.1,17.3,IT,10,1.3,No
34,57,Hombre,No,21,7,13.0,5.9,Ventas,2,4.1,Sí
30,54,Hombre,Sí,29,8,1.2,2.6,Ventas,4,10.6,No
32,51,Mujer,No,17,5,12.0,1.1,Marketing,5,0.6,No
26,58,No binario,Sí,15,9,7.9,2.2,Marketing,7,3.1,No
24,44,Hombre,Sí,0,10,4.2,0.9,Marketing,7,4.0,No
24,31,Hombre,No,1,4,2.3,0.6,Marketing,9,3.1,No
25,26,Hombre,Sí,13,4,15.7,11.9,Ventas,8,3.3,Sí
28,57,No binario,No,13,8,9.6,30.3,IT,2,6.2,No
17,55,Hombre,No,0,1,6.3,0.9,Ventas,8,0.8,No
25,52,Hombre,Sí,25,8,7.5,0.3,RRHH,8,8.6,No
19,31,Mujer,No,25,5,0.8,2.0,Marketing,5,0.1,Sí
27,40,Hombre,Sí,24,1,5.1,3.1,Ventas,3,4.2,Sí
22,53,Hombre,No,15,4,1.7,1.1,IT,9,9.0,No
15,22,Mujer,Sí,14,2,1.9,1.8,Operaciones,7,4.6,No
27,26,Mujer,Sí,25,4,8.7,1.1,IT,1,0.2,No
28,25,Hombre,Sí,14,8,19.4,7.4,RRHH,8,6.4,No
21,37,Hombre,No,11,5,4.1,6.2,IT,10,7.9,No
23,45,Hombre,No,15,1,1.9,5.0,Ventas,5,10.8,Sí
25,37,Hombre,No,13,7,8.4,2.4,RRHH,6,5.0,No
16,23,Mujer,No,28,1,16.4,12.0,Marketing,9,6.2,No
28,49,Hombre,No,23,9,11.0,17.5,Marketing,10,3.6,Sí
26,53,Hombre,No,14,3,16.2,1.0,IT,8,1.1,Sí
22,48,Hombre,Sí,22,3,6.2,1.3,IT,3,0.9,No
28,41,Mujer,No,14,6,11.2,3.7,Marketing,5,5.6,No
33,45,Mujer,No,18,10,1.2,0.5,IT,4,2.4,Sí
25,33,Mujer,Sí,7,6,3.4,2.9,IT,1,1.5,No
19,56,Hombre,No,1,6,3.9,4.4,Operaciones,5,2.6,Sí
18,54,Mujer,No,1,1,5.7,3.7,IT,10,0.7,Sí
28,54,Mujer,No,26,5,21.2,2.0,IT,7,15.0,No
31,64,Hombre,No,9,6,16.6,3.9,Marketing,1,3.0,Sí
23,58,Hombre,Sí,2,8,1.2,15.9,Operaciones,4,2.1,No
16,33,Hombre,Sí,22,1,1.5,1.2,IT,6,2.7,No
18,24,Hombre,Sí,16,5,3.5,5.3,IT,9,3.4,Sí
20,22,Hombre,No,7,3,2.7,0.2,RRHH,8,5.0,No
24,54,Hombre,Sí,27,2,7.6,0.3,RRHH,2,2.7,No
38,61,Hombre,No,22,8,18.6,4.0,Marketing,3,8.5,No
30,31,Mujer,Sí,3,7,26.2,0.6,IT,10,3.9,No
27,64,Hombre,Sí,13,10,8.5,0.1,IT,5,2.6,No
32,65,Mujer,No,30,7,14.6,0.9,Marketing,7,3.9,Sí
28,50,Mujer,No,20,5,6.0,4.2,Operaciones,3,4.2,Sí
25,34,Mujer,Sí,9,9,1.9,6.1,Operaciones,7,1.1,No
26,33,Mujer,No,28,5,6.0,1.1,Ventas,5,1.4,Sí
21,52,Hombre,No,0,2,6.5,5.5,IT,10,3.3,No
25,23,Mujer,Sí,3,3,10.9,1.0,IT,6,0.3,Sí
25,56,Hombre,Sí,30,4,2.0,4.8,Operaciones,6,5.8,No
27,44,Hombre,No,0,5,3.7,2.7,Marketing,4,2.8,Sí
21,38,Mujer,No,16,3,3.6,5.3,IT,8,3.9,No
30,47,Hombre,Sí,25,7,25.6,26.5,Ventas,9,7.3,No
27,29,Hombre,No,16,5,4.7,13.9,IT,2,2.0,Sí
22,50,Mujer,No,6,5,11.3,0.0,Ventas,9,5.5,No
26,47,Mujer,No,22,6,11.1,10.8,RRHH,4,2.4,No
27,31,Mujer,No,19,7,2.5,0.3,RRHH,6,6.0,No
30,47,Hombre,No,14,10,6.8,15.3,IT,7,7.3,Sí
33,55,Mujer,No,12,10,18.0,1.7,IT,4,2.6,No
28,62,Hombre,No,27,8,5.2,2.4,Operaciones,8,2.2,No
34,28,Mujer,No,1,9,23.2,0.5,IT,10,5.8,Sí
18,25,Mujer,No,27,4,1.9,0.6,Ventas,8,2.2,No
22,32,Mujer,No,18,5,0.6,6.5,Operaciones,1,0.7,Sí
26,50,Mujer,Sí,23,5,17.8,14.4,RRHH,8,7.1,No
29,57,Hombre,No,12,8,15.1,4.7,RRHH,10,2.3,No
35,46,Mujer,No,23,9,30.0,6.3,Ventas,3,6.1,No
23,42,Mujer,No,10,7,9.1,7.2,Ventas,5,1.2,No
29,57,Hombre,No,26,5,22.1,1.5,Ventas,10,5.1,No
18,31,Mujer,No,21,3,14.0,0.2,Ventas,8,5.8,No
22,58,Hombre,Sí,14,1,14.9,0.0,RRHH,6,4.0,No
31,30,Mujer,No,9,9,6.7,2.2,Ventas,4,4.5,No
21,45,Mujer,No,8,5,3.9,1.4,Marketing,4,2.1,No
36,56,Mujer,Sí,26,9,21.8,0.3,IT,4,10.0,No
35,56,Hombre,Sí,27,10,4.5,1.0,IT,6,5.6,Sí
25,57,Mujer,No,8,4,6.2,0.7,Operaciones,7,3.0,No
23,39,Mujer,Sí,19,5,4.7,12.3,Ventas,5,7.4,No
23,60,Mujer,Sí,27,4,6.7,0.8,IT,10,1.8,Sí
19,53,Hombre,No,0,2,5.1,3.9,IT,8,1.9,No
20,45,Hombre,No,16,1,0.4,4.5,Ventas,7,4.2,No
32,44,Mujer,No,30,8,17.1,3.9,IT,8,5.7,No
24,53,Hombre,No,11,4,4.7,0.5,IT,4,1.9,No
25,58,Mujer,Sí,9,5,7.1,1.9,Marketing,8,2.1,Sí
20,33,Mujer,No,30,6,1.2,0.3,RRHH,6,0.6,No
28,34,Mujer,No,4,8,0.0,2.5,IT,3,1.7,No
22,44,Mujer,No,29,8,2.3,1.0,Ventas,8,8.2,No
26,46,Mujer,No,28,7,9.8,4.1,Marketing,7,0.8,No
24,56,Hombre,No,17,4,0.8,5.9,Ventas,10,2.4,Sí
34,62,Hombre,No,14,6,19.2,3.8,Marketing,5,2.9,Sí
24,51,Hombre,No,5,4,1.9,2.8,Marketing,4,2.0,No
29,38,Hombre,No,6,7,1.8,2.4,Ventas,1,2.7,Sí
18,41,Mujer,No,16,1,1.6,9.2,RRHH,10,6.0,No
21,46,Mujer,No,5,5,0.1,1.2,Operaciones,3,3.6,No
31,43,Mujer,No,7,10,11.8,6.6,RRHH,2,2.8,No
25,34,Mujer,No,11,10,16.6,7.1,IT,8,5.3,No
27,40,No binario,No,20,4,7.6,2.7,IT,8,3.5,No
32,57,Mujer,No,13,7,1.7,1.8,Operaciones,5,6.4,Sí
22,33,Mujer,No,11,9,2.7,3.2,IT,5,1.9,No
23,62,Mujer,No,22,5,5.2,0.5,RRHH,4,9.2,No
35,40,Hombre,No,9,4,24.7,0.2,Ventas,1,1.2,No
26,33,Hombre,No,21,9,2.3,0.6,Ventas,1,1.4,No
28,30,Hombre,No,19,5,10.5,1.0,RRHH,6,3.4,No
30,28,Mujer,No,14,9,4.6,3.5,RRHH,4,0.4,Sí
29,49,Mujer,No,30,8,2.8,9.5,RRHH,4,4.5,Sí
27,35,Hombre,No,6,4,4.9,1.3,Operaciones,3,1.6,No
26,52,Hombre,No,25,7,0.6,13.7,Ventas,9,2.7,Sí
28,40,Mujer,No,8,5,12.8,15.5,Ventas,3,1.7,No
27,37,Hombre,Sí,9,10,2.2,16.0,Operaciones,8,0.2,No
30,26,Hombre,No,9,4,10.3,9.1,Ventas,2,3.6,Sí
28,56,Mujer,No,15,5,0.6,2.3,Marketing,4,12.3,Sí
37,33,Hombre,No,28,5,24.8,0.4,IT,1,2.6,No
29,46,Hombre,No,6,9,1.7,4.2,Ventas,5,4.2,Sí
36,42,Mujer,No,27,9,17.1,4.1,IT,2,3.5,No
36,57,Mujer,No,29,6,13.3,9.5,IT,1,4.9,No
34,44,Mujer,No,4,4,27.5,27.6,Operaciones,1,0.2,No
22,37,Hombre,No,22,2,5.2,3.5,Marketing,2,4.4,No
25,60,Hombre,No,2,3,10.4,2.1,Marketing,5,3.3,No
21,63,Hombre,Sí,17,2,3.7,1.0,IT,9,3.9,No
19,60,Mujer,No,10,5,1.6,0.0,IT,6,1.1,No
28,35,Mujer,No,14,6,4.7,3.6,Ventas,4,5.9,No
22,52,Hombre,Sí,20,5,1.4,4.1,IT,3,1.6,Sí
29,26,Mujer,No,19,2,30.0,8.7,Ventas,8,2.8,Sí
21,56,Hombre,No,4,5,0.8,3.5,Ventas,3,3.1,No
31,44,Hombre,Sí,23,9,7.1,12.4,IT,1,4.4,No
21,50,Hombre,No,11,4,7.9,4.9,IT,4,3.1,No
24,64,Hombre,Sí,3,10,6.2,9.2,Ventas,5,6.1,No
21,32,Mujer,No,14,2,8.7,0.8,IT,5,1.6,No
21,39,Mujer,No,8,3,1.0,9.7,IT,5,10.4,No
20,33,Hombre,No,6,3,6.5,5.6,Ventas,8,10.1,No
25,30,Mujer,Sí,9,9,2.7,0.9,Operaciones,8,4.9,No
28,31,Hombre,Sí,28,4,22.5,1.1,Ventas,4,1.2,No
24,65,Mujer,Sí,27,1,11.5,13.1,Operaciones,9,1.2,Sí
30,38,Mujer,No,22,1,28.8,0.2,Ventas,1,7.5,No
28,59,Hombre,Sí,30,7,0.3,3.1,Operaciones,5,1.5,No
19,28,Mujer,No,12,7,2.7,1.9,Ventas,5,9.7,No
20,34,Hombre,Sí,28,2,1.7,5.5,RRHH,5,7.3,No
22,61,Hombre,No,7,9,0.1,9.2,IT,8,1.5,No
18,63,Hombre,Sí,11,9,2.2,2.2,Marketing,9,2.6,Sí
25,30,Mujer,Sí,21,5,9.1,2.8,IT,3,6.9,Sí
18,48,Mujer,No,23,3,2.1,20.1,Ventas,9,4.1,No
18,23,Hombre,Sí,18,3,5.7,7.7,RRHH,8,2.1,No
27,26,Mujer,Sí,25,3,17.5,11.4,Ventas,3,5.1,Sí
32,50,Mujer,No,25,6,9.5,2.9,Operaciones,2,6.9,No
30,58,Mujer,No,29,4,4.0,1.3,Ventas,4,0.6,No
30,59,Mujer,No,0,8,3.7,2.7,IT,2,5.8,Sí
22,40,Mujer,Sí,15,5,4.9,6.3,Marketing,4,6.6,No
22,29,Hombre,No,21,1,1.6,0.6,IT,5,0.4,No
24,22,Hombre,Sí,16,9,8.0,1.6,Ventas,2,2.9,No
22,43,No binario,Sí,24,1,3.6,0.2,RRHH,8,2.6,No
31,38,Hombre,No,29,6,15.3,2.8,RRHH,1,1.7,No
23,28,No binario,No,17,1,11.3,8.8,Operaciones,3,6.2,No
20,46,Mujer,Sí,10,3,7.5,0.1,IT,7,1.2,No
27,25,Hombre,No,17,10,3.6,5.6,IT,10,1.9,No
23,57,Hombre,Sí,6,5,1.9,13.5,IT,1,7.3,Sí
31,27,Hombre,No,17,10,12.0,1.4,IT,2,3.3,No
30,52,Mujer,Sí,25,7,5.3,5.9,RRHH,3,4.0,Sí
24,40,Hombre,Sí,7,10,2.0,18.5,IT,2,0.9,No
25,65,Hombre,No,5,8,1.7,16.4,IT,2,1.1,No
26,60,Hombre,No,29,9,1.4,1.3,IT,6,4.2,No
31,48,Hombre,No,6,6,12.0,0.5,Marketing,7,1.5,Sí
32,31,Mujer,Sí,22,9,2.1,0.8,Operaciones,6,11.0,Sí
25,47,Hombre,Sí,21,8,6.0,6.1,Marketing,6,2.5,No
25,40,Mujer,No,9,9,4.8,6.5,IT,9,2.8,No
27,60,Hombre,Sí,10,10,6.9,5.6,RRHH,8,4.5,No
18,24,Hombre,No,24,4,16.8,2.0,Marketing,8,3.1,No
34,34,Hombre,Sí,12,9,16.2,0.9,Ventas,6,7.3,No
26,49,Hombre,No,8,7,4.8,4.3,Ventas,5,5.4,Sí
22,41,No binario,No,30,5,0.1,3.3,Ventas,9,7.5,Sí
28,49,Mujer,Sí,6,5,4.4,6.5,IT,2,4.9,Sí
21,29,Hombre,No,8,1,7.5,2.9,RRHH,7,5.5,No
22,62,Mujer,No,12,2,6.5,2.1,IT,6,2.2,No
34,60,Hombre,Sí,25,10,8.4,1.7,IT,7,3.8,Sí
24,22,Hombre,No,2,3,1.3,1.2,Operaciones,4,6.0,Sí
24,24,No binario,No,2,8,8.3,1.5,RRHH,9,4.1,No
26,34,Mujer,Sí,0,6,1.6,0.5,Marketing,7,2.4,No
31,49,No binario,No,20,10,11.1,2.1,IT,2,5.4,No
25,46,Hombre,Sí,30,5,3.3,0.2,Ventas,4,1.6,Sí
24,54,Mujer,No,19,1,9.9,1.0,Ventas,5,3.1,No
22,59,Hombre,No,1,9,0.4,6.9,Ventas,2,6.4,No
18,27,Hombre,No,24,3,4.2,2.0,IT,10,12.4,No
24,65,Mujer,No,2,3,9.8,5.5,IT,8,0.6,Sí
27,53,Hombre,No,14,2,2.1,6.3,Ventas,1,6.2,No
29,42,Mujer,No,23,4,12.7,4.4,Ventas,3,6.4,No
27,37,Mujer,Sí,5,2,8.0,15.9,Ventas,1,2.1,No
27,42,Hombre,No,29,9,7.1,0.1,Marketing,5,1.6,No
27,32,Mujer,Sí,12,10,3.5,6.7,Marketing,8,1.4,No
26,58,Mujer,No,20,7,5.3,15.9,IT,7,7.1,No
26,57,Hombre,No,0,8,7.3,9.9,IT,9,1.8,No
26,56,Mujer,Sí,19,3,5.1,0.9,IT,2,0.7,Sí
29,40,Mujer,Sí,18,6,9.6,2.0,Ventas,8,4.5,Sí
28,41,Hombre,Sí,0,10,4.5,0.9,Ventas,8,3.1,Sí
22,39,Mujer,No,27,6,1.8,4.6,Operaciones,6,2.8,No
26,62,No binario,No,30,1,1.9,6.2,Operaciones,3,0.3,Sí
24,35,Hombre,No,20,6,0.0,1.9,Marketing,2,2.8,No
23,36,Mujer,No,21,3,2.9,3.9,Operaciones,8,3.8,No
21,52,Hombre,No,1,3,11.1,5.9,Marketing,6,3.4,Sí
19,22,Mujer,Sí,14,3,12.6,2.7,Ventas,4,0.9,No
28,24,Mujer,Sí,13,10,1.8,9.6,Operaciones,5,3.3,Sí
34,37,Hombre,No,18,10,25.6,7.4,Ventas,5,1.9,No
22,44,Hombre,No,10,8,5.6,0.3,Marketing,9,8.0,No
24,32,Mujer,Sí,29,5,19.9,4.9,IT,9,2.6,No
25,33,Hombre,Sí,14,4,9.8,1.3,IT,8,2.1,Sí
30,31,Mujer,Sí,5,9,10.3,4.1,Marketing,8,2.0,No
24,53,Hombre,No,19,9,0.7,15.7,IT,2,2.1,No
21,37,Mujer,Sí,8,1,2.0,10.6,IT,3,1.0,No
23,29,Mujer,No,4,2,0.1,2.6,IT,8,3.3,No
33,59,Mujer,No,19,8,10.1,1.7,IT,5,1.1,No
23,33,Hombre,Sí,1,5,3.4,1.3,Operaciones,7,1.9,No
25,45,Mujer,No,5,7,12.4,3.8,RRHH,8,5.1,No
22,49,Mujer,No,25,1,3.3,0.6,IT,6,5.5,Sí
27,29,Hombre,No,17,10,13.7,4.0,Ventas,5,3.0,No
22,49,Hombre,No,27,5,1.1,0.0,RRHH,8,6.7,No
27,57,Hombre,No,28,3,1.5,2.0,Ventas,1,3.4,No
32,47,Mujer,No,22,10,3.3,1.2,Ventas,1,7.7,No
26,29,Mujer,No,18,2,4.2,17.7,IT,1,3.5,Sí
21,49,Hombre,Sí,8,2,3.4,6.5,Operaciones,3,1.5,No
27,49,Mujer,Sí,26,9,11.5,2.2,Ventas,10,11.6,No
26,58,Hombre,Sí,20,4,0.8,0.5,Ventas,6,1.7,Sí
23,62,Hombre,Sí,23,4,3.5,3.6,IT,6,6.3,No
32,57,No binario,Sí,26,7,14.5,1.2,IT,5,5.6,No
22,48,Mujer,Sí,5,10,0.6,3.8,IT,7,3.8,Sí
35,38,Mujer,No,13,10,22.8,9.0,IT,5,1.9,No
34,30,Hombre,No,27,2,30.0,4.8,IT,2,3.6,No
23,54,Mujer,No,25,3,0.7,5.0,Ventas,4,2.8,Sí
28,41,Mujer,No,23,3,2.8,3.9,Ventas,1,1.4,No
26,34,Hombre,No,28,6,3.7,13.1,RRHH,7,3.1,Sí
28,49,Mujer,No,12,3,12.0,13.4,Operaciones,4,2.2,No
27,50,Mujer,No,10,5,7.2,3.6,Ventas,4,3.5,No
24,34,Mujer,Sí,11,4,8.3,1.8,Ventas,4,1.5,Sí
23,56,Hombre,No,18,3,11.3,3.1,Ventas,3,2.9,No
24,27,Mujer,No,18,8,1.0,1.0,Marketing,8,5.0,No
31,39,Mujer,No,20,10,14.3,5.1,Marketing,4,3.2,No
16,26,Hombre,Sí,26,3,9.8,3.5,IT,8,5.0,No
23,46,Mujer,Sí,25,6,6.9,0.5,Marketing,9,5.7,No
27,23,Mujer,No,18,7,17.6,1.1,Marketing,1,2.0,No
31,31,Hombre,No,23,7,9.6,3.3,Operaciones,4,1.3,No
23,51,Hombre,Sí,25,2,1.8,10.9,Ventas,6,4.1,No
19,26,Mujer,Sí,12,3,4.5,4.2,Ventas,8,1.2,Sí
31,54,Mujer,No,27,10,5.5,5.7,Ventas,6,1.5,No
22,22,Mujer,No,13,10,0.5,2.1,Operaciones,6,3.5,No
22,39,Hombre,Sí,23,4,24.7,4.2,RRHH,10,3.5,No
24,53,No binario,No,17,7,1.1,3.0,IT,4,1.9,No
20,32,Hombre,Sí,11,2,9.6,5.4,Ventas,9,2.1,No
24,42,Hombre,Sí,3,3,5.6,0.3,IT,7,2.8,Sí
26,47,Mujer,No,9,7,0.2,3.4,IT,6,9.0,No
32,46,Hombre,Sí,28,7,20.7,1.8,IT,1,1.2,No
36,43,Hombre,No,16,10,15.3,2.0,IT,2,1.8,Sí
18,48,Hombre,No,3,3,5.9,16.2,Ventas,6,2.5,No
26,34,Hombre,No,11,1,2.1,1.0,Marketing,1,5.8,No
17,54,Hombre,Sí,12,3,1.0,1.9,IT,5,3.5,No
28,55,No binario,Sí,28,5,3.6,3.6,IT,1,5.8,Sí
28,62,Hombre,Sí,26,7,2.4,9.9,Ventas,3,5.4,Sí
23,56,Mujer,No,28,4,5.7,2.7,RRHH,7,13.6,Sí
29,22,Mujer,No,3,1,27.1,6.8,IT,5,2.8,No
28,42,Mujer,No,9,6,6.8,9.7,Operaciones,10,4.5,No
21,27,Hombre,No,24,2,17.7,1.9,IT,1,2.0,No
22,49,Mujer,No,30,3,8.4,2.5,Operaciones,1,6.9,No
20,38,Mujer,No,2,4,5.2,2.2,Operaciones,8,6.9,No
24,26,Mujer,Sí,14,6,15.4,8.9,IT,9,2.3,No
26,52,Mujer,Sí,1,6,5.1,0.2,Operaciones,7,3.0,Sí
27,26,Mujer,No,24,7,16.2,1.8,IT,3,5.3,No
21,59,Hombre,Sí,24,5,2.8,5.7,IT,6,5.4,Sí
27,24,Mujer,Sí,16,7,1.1,4.2,Ventas,3,1.2,No
22,44,Mujer,No,5,2,15.5,2.9,IT,10,1.0,Sí
28,58,Mujer,No,25,1,7.1,3.9,Marketing,4,5.2,Sí
28,58,No binario,Sí,7,10,17.6,1.1,RRHH,4,15.0,No
33,31,Hombre,No,2,8,22.2,2.8,Ventas,3,1.4,No
18,31,No binario,No,26,1,0.4,3.5,IT,10,6.5,Sí
20,40,Hombre,No,24,2,5.6,11.6,Ventas,6,4.4,No
28,38,Hombre,Sí,17,10,3.8,1.5,Marketing,5,2.1,No
23,42,Hombre,Sí,21,6,7.9,10.1,Ventas,9,3.7,No
21,35,Hombre,No,0,1,12.6,5.2,Operaciones,9,2.6,No
30,30,Mujer,No,28,10,2.6,0.1,Ventas,3,3.3,No
20,22,Hombre,No,15,3,6.5,6.4,IT,9,6.1,No
31,34,Hombre,No,6,7,9.9,0.2,Operaciones,3,5.3,Sí
29,25,Mujer,Sí,2,8,1.2,29.7,IT,4,5.5,Sí
27,22,Mujer,Sí,22,4,13.5,10.3,Ventas,1,3.1,Sí
22,61,Mujer,No,3,3,7.5,1.8,IT,5,4.2,No
27,53,Mujer,Sí,8,1,23.9,1.5,Ventas,9,12.0,No
24,55,Mujer,Sí,4,9,3.3,2.4,Operaciones,2,2.2,No
30,49,Hombre,No,18,10,0.9,2.2,IT,4,3.7,Sí
22,52,Hombre,Sí,14,6,5.6,2.3,IT,10,4.7,No
25,29,Mujer,Sí,7,6,0.7,1.9,IT,2,1.1,No
31,60,Hombre,No,5,9,27.9,4.9,Ventas,8,3.8,Sí
15,47,Mujer,Sí,17,1,0.3,0.9,RRHH,9,5.3,No
30,55,Hombre,Sí,18,6,11.2,9.4,Operaciones,3,1.9,No
26,24,Hombre,No,23,5,6.0,8.4,Operaciones,9,6.3,No
28,33,Mujer,No,14,6,3.7,3.2,IT,6,3.1,Sí
23,22,Mujer,Sí,25,8,0.5,9.6,IT,6,3.5,No
24,65,Mujer,No,6,5,7.8,1.4,Ventas,7,2.1,Sí
21,26,Mujer,Sí,9,2,7.0,0.1,Marketing,5,5.9,No
21,51,Hombre,No,5,2,2.6,4.8,IT,6,1.6,Sí
35,51,Hombre,No,13,10,19.3,3.1,IT,1,2.6,No
25,38,Mujer,No,16,5,2.9,4.2,Operaciones,3,2.6,Sí
18,44,Mujer,No,8,3,4.8,11.5,Ventas,9,4.2,Sí
28,36,Hombre,Sí,18,10,6.3,17.5,Ventas,5,13.6,No
23,58,Mujer,Sí,29,3,0.8,5.0,Ventas,5,2.4,No
33,42,Hombre,No,4,8,21.5,7.2,Ventas,8,1.9,No
29,35,Hombre,Sí,22,7,3.8,0.4,Ventas,2,4.6,Sí
15,23,Hombre,Sí,30,1,0.7,0.9,IT,7,2.8,No
26,32,Mujer,No,6,5,3.9,6.6,IT,9,1.8,No
27,60,Mujer,No,18,9,7.3,2.8,Ventas,7,2.2,No
26,59,Hombre,No,30,4,5.8,3.0,RRHH,5,4.6,No
18,55,Mujer,Sí,19,1,9.5,1.8,Ventas,6,8.6,No
29,59,Hombre,No,25,8,0.5,4.7,Marketing,4,5.0,No
22,55,Hombre,Sí,6,5,2.7,1.0,IT,7,0.6,No
30,39,Hombre,Sí,23,2,13.7,4.9,IT,1,3.0,No
23,51,Hombre,No,1,1,0.7,1.0,Operaciones,4,1.6,Sí
24,36,Hombre,Sí,24,3,15.5,0.3,Ventas,3,6.1,No
23,48,Mujer,Sí,22,9,0.8,2.0,IT,4,3.5,No
25,55,Mujer,No,15,1,14.4,1.3,Operaciones,1,2.0,No
26,59,Mujer,Sí,12,4,3.6,11.0,IT,2,4.1,No
23,54,Hombre,Sí,7,8,7.6,0.3,IT,9,3.6,No
21,45,Hombre,Sí,5,8,1.3,1.0,IT,7,1.3,No
